Taxon,Group
Caulolatilus_microps,Actinopterygii
Lopholatilus_chamaeleonticeps,Actinopterygii
Branchiostegus_semifasciatus,Actinopterygii
Lopholatilus_villarii,Actinopterygii
Hoplolatilus_purpureus,Actinopterygii
Hoplolatilus_fronticinctus,Actinopterygii
Hoplolatilus_marcosi,Actinopterygii
Callanthias,Actinopterygii
Grammatonotus_surugaensis,Actinopterygii
Pinjalo_pinjalo,Actinopterygii
Apsilus,Actinopterygii
Paracaesio_sordida,Actinopterygii
Paracaesio_xanthura,Actinopterygii
Aphareus_furca,Actinopterygii
Aphareus_rutilans,Actinopterygii
Pristipomoides_multidens,Actinopterygii
Pristipomoides_typus,Actinopterygii
Pristipomoides_filamentosus,Actinopterygii
Pristipomoides_sieboldii,Actinopterygii
Pristipomoides_auricilla,Actinopterygii
Pristipomoides_aquilonaris,Actinopterygii
